ra,nome,fase,turma,idade,genero,ano_ingresso,instituicao,iaa,ieg,ips,ipp,ida,ipv,ian,fase_ideal,defasagem,situacao,inde,pedra,ano,fase_num,anos_na_pm,risco_defasagem_atual,categoria_defasagem
RA-1,Aluno-1,7,A,19.0,Menina,2016,Escola Pública,8.3,4.1,5.6,,4.0,7.278,5.0,Fase 8 (Universitários),-1,,5.783,Quartzo,2022,7.0,6.0,1,Moderada (−1 fase)
RA-1,Aluno-1,FASE 8,8E,,Feminino,2016,Privada *Parcerias com Bolsa 100%,,,,,,,10.0,Fase 8 (Universitários),0,,,,2023,8.0,7.0,0,Adequada/adiantada (≥ 0)
RA-1,Aluno-1,8E,8E,21.0,Feminino,2021,Privada *Parcerias com Bolsa 100%,,0.0,,,,,10.0,Fase 8 (Universitários),0,Cursando,,,2024,8.0,3.0,0,Adequada/adiantada (≥ 0)
RA-10,Aluno-10,7,A,18.0,Menina,2021,Escola Pública,8.3,5.2,5.0,,4.1,7.056,5.0,Fase 8 (Universitários),-1,,5.784,Quartzo,2022,7.0,1.0,1,Moderada (−1 fase)
RA-100,Aluno-100,4,A,13.0,Menina,2019,Rede Decisão,8.8,7.8,5.0,,7.6,7.25,10.0,Fase 3 (7º e 8º ano),1,,7.618,Ametista,2022,4.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1000,Aluno-1000,ALFA,ALFA U - G2/G3,8.0,Feminino,2023,Pública,8.5,9.4,3.77,6.25,7.0,8.92,10.0,ALFA (1° e 2° ano),0,,7.9162,Ametista,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1000,Aluno-1000,1N,1N,9.0,Feminino,2023,Pública,9.002,9.5454545455,6.26,8.125,7.75,7.835,10.0,Fase 1 (3° e 4° ano),0,Cursando,8.364790909100002,Topázio,2024,1.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1001,Aluno-1001,ALFA,ALFA U - G2/G3,9.0,Feminino,2023,Pública,9.0,9.1,7.52,7.5,7.8,9.17,5.0,Fase 1 (3° e 4° ano),-1,,8.1162,Topázio,2023,0.0,0.0,1,Moderada (−1 fase)
RA-1001,Aluno-1001,1N,1N,10.0,Feminino,2023,Pública,7.502,9.347826087,7.51,7.916666667,7.75,7.92,5.0,Fase 2 (5° e 6° ano),-1,Cursando,7.7964318841,Ametista,2024,1.0,1.0,1,Moderada (−1 fase)
RA-1002,Aluno-1002,ALFA,ALFA U - G2/G3,9.0,Feminino,2023,Pública,9.0,9.7,7.52,6.25,7.0,8.92,5.0,Fase 1 (3° e 4° ano),-1,,7.9012,Ametista,2023,0.0,0.0,1,Moderada (−1 fase)
RA-1002,Aluno-1002,ALFA,ALFA N - G2/G3,10.0,Feminino,2023,Pública,9.002,7.833333333500001,7.51,7.5,9.25,8.25,5.0,Fase 1 (3° e 4° ano),-1,Cursando,7.967866666700001,Ametista,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1003,Aluno-1003,ALFA,ALFA V - G0/G1,8.0,Masculino,2023,Pública,9.0,8.5,7.52,7.5,4.0,8.75,10.0,ALFA (1° e 2° ano),0,,7.6522,Ametista,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1003,Aluno-1003,ALFA,ALFA J - G2/G3,9.0,Masculino,2023,Pública,8.002,8.6944444445,7.51,6.875,8.25,7.5,5.0,Fase 1 (3° e 4° ano),-1,Cursando,7.627588888900001,Ametista,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1004,Aluno-1004,ALFA,ALFA V - G0/G1,8.0,Feminino,2023,Pública,9.0,9.6,7.52,6.875,7.9,7.42,10.0,ALFA (1° e 2° ano),0,,8.3137,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1004,Aluno-1004,ALFA,ALFA J - G2/G3,9.0,Feminino,2023,Pública,9.502,9.25,7.51,7.5,7.5,7.5,5.0,Fase 1 (3° e 4° ano),-1,Cursando,7.801200000000001,Ametista,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1005,Aluno-1005,ALFA,ALFA V - G0/G1,8.0,Masculino,2023,Pública,9.5,7.9,7.52,7.5,8.8,8.165,10.0,ALFA (1° e 2° ano),0,,8.4252,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1006,Aluno-1006,ALFA,ALFA V - G0/G1,8.0,Feminino,2023,Pública,9.0,9.3,7.52,7.5,8.7,8.0,10.0,ALFA (1° e 2° ano),0,,8.5922,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1006,Aluno-1006,ALFA,ALFA J - G2/G3,9.0,Feminino,2023,Pública,8.502,8.4444444445,7.51,7.5,5.0,7.5,5.0,Fase 1 (3° e 4° ano),-1,Cursando,7.040088888900001,Ametista,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1007,Aluno-1007,ALFA,ALFA V - G0/G1,,Masculino,2023,Pública,9.0,7.4,7.52,7.5,8.3,7.68,10.0,ALFA (1° e 2° ano),0,,8.0782,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1008,Aluno-1008,ALFA,ALFA V - G0/G1,8.0,Masculino,2023,Pública,9.0,8.6,7.52,5.9375,8.4,7.5,10.0,ALFA (1° e 2° ano),0,,8.13595,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1008,Aluno-1008,ALFA,ALFA I - G2/G3,9.0,Masculino,2023,Pública,7.002,6.483957219,7.51,7.1875,7.0,7.5,5.0,Fase 1 (3° e 4° ano),-1,Cursando,6.8667414438000005,Ágata,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1009,Aluno-1009,ALFA,ALFA Y - G0/G1,8.0,Masculino,2023,Pública,0.0,9.0,3.77,7.5,8.8,7.84,10.0,ALFA (1° e 2° ano),0,,7.245,Ametista,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1009,Aluno-1009,ALFA,ALFA E - G2/G3,9.0,Masculino,2023,Pública,8.002,6.8863636365000005,2.51,6.5625,7.5,6.553333333,5.0,Fase 1 (3° e 4° ano),-1,Cursando,6.395389393900001,Ágata,2024,0.0,1.0,1,Moderada (−1 fase)
RA-101,Aluno-101,4,A,15.0,Menina,2021,Escola Pública,7.9,8.3,7.5,,7.6,6.833,5.0,Fase 5 (1º EM),-1,,7.305,Ametista,2022,4.0,1.0,1,Moderada (−1 fase)
RA-1010,Aluno-1010,ALFA,ALFA Y - G0/G1,8.0,Masculino,2023,Pública,9.5,10.0,3.77,7.8125,9.4,8.59,10.0,ALFA (1° e 2° ano),0,,8.70645,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
